Num of Loans (In House + Not In House),Last Loan Date,Normalized Call Number,Permanent Call Number,Publisher,Publication Date,Author,Title,ISBN,MMS Id,Network Id,Location Name,Material Type,Barcode,Description
5,2002-12-12 02:59:00,"0la""229 s25",LA229 .S25,Jossey-Bass,1967.,"Sanford, Nevitt.",Where colleges fail : a study of the student as a person.,9780875890036; 0875890032,991003256129702920,991043720879702901,Main Collection,Book,30150000944352,
4,2010-02-06 02:59:00,"0la""229 s36 1971",LA229 .S36 1971,World Pub Co,[1971],"Searle, John R.",The campus war; a sympathetic look at the university in agony,,991003781399702920,991003346539702901,Main Collection,Book,30150005715823,
4,2010-11-07 02:59:00,"0la""229 s38",LA229 .S38,Ward Ritchie Press,[1969],"Seidenbaum, Art.",Confrontation on campus; student challenge in California.,,991004254479702920,991001109719702901,Main Collection,Book,30150005715831,
2,,"0la""229 s4 1963",LA229 .S4 1963,University of Minnesota Press,[1963],"Selltiz, Claire.",Attitudes and social relations of foreign students in the United States,,991003293179702920,991031469939702901,Main Collection,Book,30150000944360,
32,2011-10-25 03:59:00,"0la""229 s5 1969",LA229 .S5 1969,Arno Press,1969.,"Sheldon, Henry Davidson, 1874-1948.",Student life and customs.,,991002464859702920,991001803229702901,Main Collection,Book,30150015786954,
10,2017-05-17 03:59:00,"0la""229 v54 2001",LA229 .V54 2001,Praeger,2001.,,"The Vietnam War on campus : other voices, more distant drums /",9780275969097; 0275969096,991003767019702920,991060436409702901,Main Collection,Book,30150015944405,
6,2014-10-31 03:59:00,"0la""229 w65",LA229 .W65,Sage Publications,©1974.,"Wood, James L., 1941-",Political consciousness and student activism /,9780803904002; 0803904002,991001172199702920,991018942349702901,Main Collection,Book,30150005715955,
0,,"0la""230.5 s6 h37 1958",LA230.5.S6 H37 1958,University of North Carolina Press,©1958.,"Harlan, Louis R.","Separate and unequal : public school campaigns and racism in the Southern Seaboard States, 1901-1915 /",,991003498169702920,991044040629702901,Main Collection,Book,30150015319475,
8,2002-11-13 02:59:00,"0la""243 f3",LA243 .F3,Harcourt Brace & World,[1968],"Falk, Charles John.",The development and organization of education in California,,991004579219702920,991043973729702901,Main Collection,Book,30150000944600,
5,2009-09-21 03:59:00,"0la""243 f3",LA243 .F3,Harcourt Brace & World,[1968],"Falk, Charles John.",The development and organization of education in California,,991004579219702920,991043973729702901,Main Collection,Book,30150000944592,
24,2015-12-28 02:59:00,"0la""243 h46 1980",LA243 .H46 1980,Boyd & Fraser Pub Co,©1980.,"Hendrick, Irving G., 1936-",California education : a brief history /,9780878350971; 0878350977,991003749899702920,991029197579702901,Main Collection,Book,30150005716045,
8,2002-12-02 02:59:00,"0la""243 s93",LA243 .S93,American Book Co; Cincinnati,[©1911],"Swett, John, 1830-1913.","Public education in California; its origin and development, with personal reminiscences of half a century,",,991003572229702920,991016533589702901,Main Collection,Book,30150000944691,
6,2009-09-21 03:59:00,"0la""243 t6 1972",LA243 .T6 1972,,[1967],"Toto, Charles.","A history of education in California, 1800-1850.",,991001267549702920,991052154649702901,Main Collection,Book,30150000944709,
0,,"0la""243.5 a42",LA243.5 .A42,,[1969],California. Legislature. Joint Committee on Higher Education.,The challenge of achievement; a report on public and private higher education in California.,,991003896019702920,991003424609702901,Main Collection,Book,30150000944717,
8,2015-03-20 03:59:00,"0la""243.5 d68 2000",LA243.5 .D68 2000,Stanford University Press,©2000.,"Douglass, John Aubrey.",The California idea and American higher education : 1850 to the 1960 master plan /,9780804731898; 0804731896,991003548179702920,991058859859702901,Main Collection,Book,30150015868562,
10,2008-11-30 02:59:00,"0la""243.5 w48 1989",LA243.5 .W48 1989,Temple University Press,1989.,"Whalen, Jack.",Beyond the barricades : the sixties generation grows up /,9780877226062; 0877226067,991003470379702920,991011786629702901,Main Collection,Book,30150013583965,
0,,"0la""310 o46 2006",LA310 .O46 2006,Minnesota Historical Society Press,©2006.,"Ohman, Doug.",Schoolhouses of Minnesota /,9780873515481; 087351548X,991000721839702920,991025509209702901,Main Collection,Book,30150016812023,
8,2006-08-02 03:59:00,"0la""412 f85 2001",LA412 .F85 2001,Teachers College Press,©2001.,"Fullan, Michael.",The new meaning of educational change /,9780807740705; 0807740705; 9780807740699; 0807740691; 9780415260190; 0415260191; 9780415260206; 0415260205,991004015329702920,991000111099702901,Main Collection,Book,30150016135607,
6,2014-09-05 03:59:00,"0la""412 f85 2007",LA412 .F85 2007,Teachers College Press,©2007.,"Fullan, Michael.",The new meaning of educational change /,0807747653; 9780807747650; 0807747661; 9780807747667; 9780415439565; 0415439566,991000907689702920,991031239479702901,Main Collection,Book,30150016891068,
3,2000-05-08 03:59:00,"0la""422 b44",LA422 .B44,Praeger,[1970],"Benveniste, Guy, 1927-",Bureaucracy and national planning; a sociological case study in Mexico.,,991003711829702920,991001742239702901,Main Collection,Book,30150005716805,
22,2014-02-07 02:59:00,"0la""430 t55 p613 1975",LA430.T55 P613 1975,Viking Press,1975.,"Poniatowska, Elena.",Massacre in Mexico /,9780670461370; 0670461377,991002484119702920,991019239789702901,Main Collection,Book,30150016245372,
